2010153    03,06,12,19,30,31|13    2010-12-30
2010152    04,09,17,21,25,31|01    2010-12-28
2010151    02,13,14,17,19,26|14    2010-12-26
2010150    02,17,18,23,29,30|06    2010-12-23
2010149    02,07,08,16,25,30|09    2010-12-21
2010148    01,03,07,18,23,27|12    2010-12-19
2010147    02,08,15,18,24,30|03    2010-12-16
2010146    01,17,18,22,25,32|01    2010-12-14
2010145    03,21,24,27,28,31|08    2010-12-12
2010144    02,03,08,15,19,21|11    2010-12-09
2010143    09,16,18,26,30,31|14    2010-12-07
2010142    02,16,18,23,26,27|10    2010-12-05
2010141    02,03,07,18,23,27|06    2010-12-02
2010140    01,12,13,18,26,29|15    2010-11-30
2010139    11,13,18,20,26,31|09    2010-11-28
2010138    01,21,23,24,26,30|05    2010-11-25
2010137    07,09,10,13,19,33|06    2010-11-23
2010136    04,10,23,24,26,33|10    2010-11-21
2010135    04,10,13,25,26,30|10    2010-11-18
2010134    09,15,16,22,27,28|06    2010-11-16
2010133    03,09,17,21,26,32|01    2010-11-14
2010132    02,10,12,18,24,33|15    2010-11-11
2010131    05,06,15,16,19,26|06    2010-11-09
2010130    01,02,07,15,21,31|16    2010-11-07
2010129    04,08,14,25,28,32|16    2010-11-04
2010128    04,11,19,20,24,28|12    2010-11-02
2010127    01,04,08,17,25,33|01    2010-10-31
2010126    03,13,18,20,27,28|05    2010-10-28
2010125    06,07,13,23,28,29|09    2010-10-26
2010124    02,06,08,11,12,25|02    2010-10-24
2010123    06,12,15,18,29,32|10    2010-10-21
2010122    02,09,12,16,25,27|06    2010-10-19
2010121    08,11,13,18,25,30|15    2010-10-17
2010120    01,02,05,06,10,29|16    2010-10-14
2010119    07,17,25,27,30,31|09    2010-10-12
2010118    05,08,11,13,15,25|05    2010-10-10
2010117    01,08,20,22,24,28|01    2010-10-07
2010116    05,09,10,20,22,26|07    2010-10-05
2010115    01,22,24,25,29,33|15    2010-10-03
2010114    01,08,11,15,17,25|01    2010-09-30
2010113    05,10,15,18,20,28|10    2010-09-28
2010112    01,08,18,24,29,30|16    2010-09-26
2010111    04,07,08,13,17,18|10    2010-09-23
2010110    01,03,12,24,26,27|01    2010-09-21
2010109    04,15,18,25,29,32|15    2010-09-19
2010108    02,04,08,20,23,24|07    2010-09-16
